campaign_id,campaign_name,start_date,end_date,budget_usd,platform,target_audience,cta,impressions,clicks,signups,enrollments,created_at,updated_at
1,Distributed solution-oriented functionalities,2023-05-09 07:46:03,2023-06-17 21:26:15,2697,ads,educators,awareness,348370,28374,0,1438,2023-05-09 07:46:03,2023-06-17 21:26:15
2,Mandatory 5thgeneration help-desk,2023-10-09 11:26:53,2023-11-23 06:11:47,1106,email,educators,conversion,89800,4729,0,1650,2023-10-09 11:26:53,2023-11-23 06:11:47
3,User-friendly upward-trending standardization,2023-04-19 07:19:45,2023-12-25 12:27:40,1632,ads,educators,awareness,804570,51936,0,9191,2023-04-19 07:19:45,2023-12-25 12:27:40
4,Balanced zero tolerance system engine,2023-02-16 02:44:56,2023-10-28 20:42:37,3949,ads,students,conversion,943282,76462,0,9258,2023-02-16 02:44:56,2023-10-28 20:42:37
5,Down-sized heuristic array,2023-09-17 03:29:36,2023-11-15 17:56:54,6921,social,professionals,awareness,779940,64928,0,2218,2023-09-17 03:29:36,2023-11-15 17:56:54
6,Future-proofed methodical application,2023-12-10 03:29:50,2023-12-19 23:46:23,7671,ads,students,conversion,989428,71819,0,400,2023-12-10 03:29:50,2023-12-19 23:46:23
7,Focused next generation adapter,2023-07-05 03:57:37,2023-10-04 19:17:36,9203,ads,students,conversion,523700,11418,0,3374,2023-07-05 03:57:37,2023-10-04 19:17:36
8,Enhanced bandwidth-monitored migration,2023-04-24 16:09:15,2023-06-04 06:22:46,4072,social,educators,awareness,926135,88272,0,1463,2023-04-24 16:09:15,2023-06-04 06:22:46
9,Self-enabling discrete extranet,2024-02-10 21:35:12,2024-02-12 01:14:54,4708,social,educators,awareness,867116,84408,0,34,2024-02-10 21:35:12,2024-02-12 01:14:54
10,Multi-lateral composite software,2023-12-10 07:17:18,2023-04-30 13:53:27,1107,ads,professionals,awareness,575449,11944,0,0,2023-12-10 07:17:18,2023-04-30 13:53:27
11,Streamlined 24/7 intranet,2023-06-25 17:03:30,2023-09-23 01:30:31,6188,email,professionals,conversion,975163,58688,0,3244,2023-06-25 17:03:30,2023-09-23 01:30:31
12,Face-to-face explicit Graphic Interface,2023-01-10 07:36:53,2023-03-27 01:15:52,3458,ads,students,awareness,476271,41268,0,2709,2023-01-10 07:36:53,2023-03-27 01:15:52
13,Fundamental 5thgeneration matrix,2024-01-10 00:43:53,2023-10-19 17:15:32,2315,social,professionals,awareness,683103,6913,0,0,2024-01-10 00:43:53,2023-10-19 17:15:32
14,Mandatory dedicated algorithm,2023-10-31 14:33:21,2023-10-18 08:35:29,8482,email,professionals,awareness,258801,5058,0,0,2023-10-31 14:33:21,2023-10-18 08:35:29
