completion_id;user_id;course_id;completion_date;score;time_to_complete_days
3170;789;661;2022-06-01 01:14:35;80;39
4510;688;486;2022-06-01 01:54:57;59;1
920;413;398;2022-06-01 05:45:32;54;42
1639;721;109;2022-06-01 06:38:48;82;41
6422;695;507;2022-06-01 07:28:44;60;57
6208;757;87;2022-06-01 07:31:36;96;23
4104;38;397;2022-06-01 08:00:45;92;34
5274;849;275;2022-06-01 14:04:16;67;38
5249;700;39;2022-06-01 15:10:36;74;34
4920;658;730;2022-06-01 17:27:59;69;53
1994;950;143;2022-06-01 17:42:34;58;16
2257;71;206;2022-06-01 18:20:01;71;26
1712;730;672;2022-06-01 19:45:30;84;38
544;661;802;2022-06-01 20:18:32;54;58
3334;423;738;2022-06-01 20:33:15;86;1
2574;424;245;2022-06-02 01:05:07;85;13
5736;645;291;2022-06-02 01:45:27;75;2
193;923;260;2022-06-02 05:54:40;50;2
2416;22;56;2022-06-02 08:09:26;59;56
1273;75;672;2022-06-02 08:35:21;64;4
3046;251;583;2022-06-02 10:35:31;86;52
2007;185;350;2022-06-02 11:23:10;98;49
766;304;22;2022-06-02 12:12:22;97;34
654;337;189;2022-06-02 12:16:28;55;33
3303;145;803;2022-06-02 12:30:42;73;39
2713;699;127;2022-06-02 12:40:55;91;42
1331;692;13;2022-06-02 12:59:20;77;55
4774;537;208;2022-06-02 13:55:37;92;21
7646;704;666;2022-06-02 16:02:11;95;7
6299;318;632;2022-06-02 16:29:30;76;29
4184;525;485;2022-06-02 17:19:23;55;51
3286;600;165;2022-06-02 17:40:32;69;4
7319;528;79;2022-06-02 21:20:32;78;36
2385;575;501;2022-06-02 23:48:30;55;25
4610;943;320;2022-06-03 00:54:07;95;35
3669;657;433;2022-06-03 01:39:32;93;54
694;404;658;2022-06-03 02:17:25;67;10
5724;646;285;2022-06-03 05:53:40;78;59
6480;874;138;2022-06-03 06:53:01;89;30
7912;325;620;2022-06-03 09:07:32;60;30
6413;337;874;2022-06-03 12:56:42;87;34
3064;468;371;2022-06-03 16:40:04;97;51
4798;327;304;2022-06-03 18:27:13;52;8
3291;953;533;2022-06-03 21:59:55;76;56
6067;836;73;2022-06-03 23:05:37;85;35
5856;559;886;2022-06-03 23:55:50;77;29
7485;749;8;2022-06-03 23:58:30;98;14
7293;694;578;2022-06-04 00:31:54;88;14
5336;154;853;2022-06-04 02:28:02;61;50
5534;994;287;2022-06-04 04:17:44;52;53
4807;434;532;2022-06-04 04:52:47;99;9
3416;968;887;2022-06-04 10:44:38;73;47
2744;957;709;2022-06-04 11:59:35;54;56
7752;656;655;2022-06-04 14:50:33;69;43
509;946;387;2022-06-04 16:42:39;52;32
6863;847;549;2022-06-04 17:41:14;60;33
2591;889;59;2022-06-04 18:49:33;81;55
3188;103;689;2022-06-04 21:03:49;53;8
2931;245;139;2022-06-04 21:12:31;58;18
681;530;374;2022-06-04 21:23:54;89;30
6316;197;266;2022-06-04 23:16:23;65;34
2689;191;564;2022-06-05 00:30:17;72;44
5538;991;676;2022-06-05 00:35:04;80;20
3217;447;479;2022-06-05 01:23:24;50;44
6463;88;376;2022-06-05 02:41:06;57;56
1965;977;875;2022-06-05 07:23:10;68;57
1764;178;764;2022-06-05 07:23:29;68;23
2162;956;349;2022-06-05 08:26:20;73;45
2660;851;318;2022-06-05 10:58:27;73;56
5891;350;224;2022-06-05 11:47:44;70;46
1440;588;281;2022-06-05 12:08:01;56;25
7230;28;198;2022-06-05 15:44:59;97;49
321;702;130;2022-06-05 18:03:54;78;44
5170;993;672;2022-06-05 18:14:16;98;33
1839;553;863;2022-06-05 21:25:22;60;32
2566;472;445;2022-06-06 00:11:47;57;3
3362;891;468;2022-06-06 00:31:13;51;25
7185;911;192;2022-06-06 04:29:08;96;20
1683;878;519;2022-06-06 08:17:43;54;44
3451;372;659;2022-06-06 11:05:52;87;38
5183;665;313;2022-06-06 11:14:18;75;9
3789;208;100;2022-06-06 12:53:57;69;33
7493;673;57;2022-06-06 12:59:03;78;21
4715;235;793;2022-06-06 13:49:01;64;32
2484;922;248;2022-06-06 16:28:47;71;51
4482;184;398;2022-06-06 18:18:40;66;45
3972;19;331;2022-06-06 18:42:10;77;43
3886;862;739;2022-06-06 20:08:23;75;44
837;988;630;2022-06-06 20:51:47;62;45
1295;913;402;2022-06-06 21:09:12;78;2
6238;406;352;2022-06-06 21:27:52;74;45
