interaction_id,user_id,event_type,course_id,timestamp,device_type,location,referral_source,session_duration_seconds,session_id,created_at,updated_at,event_category
1,817,like,141,2023-12-04 09:23:52,mobile,UK,25,800,2a29dc93-1888-4528-b74e-3c85eff504a2,2023-12-04 09:23:52,2023-12-04 10:00:57,web
2,123,like,298,2023-10-27 16:48:50,tablet,UK,4,1341,8268c30f-6eef-470c-b309-c801fc25add7,2023-10-27 16:48:50,2023-10-27 17:39:41,web
3,971,share,432,2024-01-25 23:40:38,desktop,Germany,43,1107,d03a8d1d-77ed-45d8-b35a-971ecc9f0891,2024-01-25 23:40:38,2024-01-26 00:01:32,web
4,218,bookmark,210,2023-07-01 10:22:37,desktop,Germany,6,71,8348df42-eda1-44e8-bfa7-153e823eeb9b,2023-07-01 10:22:37,2023-07-01 10:50:39,web
5,968,comment,349,2023-11-21 15:03:10,tablet,Brazil,43,1896,140242d1-8787-46e4-8e05-b00f89b12c4b,2023-11-21 15:03:10,2023-11-21 15:28:39,web
6,43,comment,506,2023-12-28 16:55:12,desktop,Brazil,organic,1206,a7392d01-1dc2-468c-9220-37eeb08313a1,2023-12-28 16:55:12,2023-12-28 17:01:26,web
7,445,like,811,2023-11-05 17:31:34,mobile,US,43,2543,1678e535-d78c-4159-9f02-0338d70aaa39,2023-11-05 17:31:34,2023-11-05 18:12:23,web
8,753,bookmark,737,2022-12-08 01:31:47,desktop,US,22,590,48844b9a-e5fe-43af-a8fc-12e10c9002c2,2022-12-08 01:31:47,2022-12-08 02:08:33,web
9,101,share,648,2024-01-13 22:00:58,tablet,US,20,3035,95a95a93-645c-4014-9eb9-33b420371c15,2024-01-13 22:00:58,2024-01-13 22:05:28,web
10,525,share,804,2023-08-28 01:12:35,mobile,US,15,2718,c297df7b-1b3f-4818-b228-39e96fd2f5db,2023-08-28 01:12:35,2023-08-28 02:07:36,web
11,693,comment,568,2023-01-02 06:13:32,tablet,India,20,1221,1b5a7dba-b2f9-409f-a6e8-5fa20711cece,2023-01-02 06:13:32,2023-01-02 06:45:22,web
12,618,share,510,2023-07-10 13:14:30,mobile,UK,12,3041,4be89df1-3136-4d74-be64-e345edd20231,2023-07-10 13:14:30,2023-07-10 14:08:19,web
13,124,share,581,2022-12-09 04:25:28,tablet,US,40,2444,44279c7f-f2d1-4bc0-a3ed-fcb923700219,2022-12-09 04:25:28,2022-12-09 04:44:38,web
14,530,comment,836,2023-11-24 05:57:28,tablet,UK,1,776,38525c8d-1f14-43bb-9c0a-b877e0b0d665,2023-11-24 05:57:28,2023-11-24 06:04:06,web
15,764,share,494,2023-02-04 02:14:43,mobile,India,23,3557,eaded6f4-b643-4a50-a2a5-48e917ae43d9,2023-02-04 02:14:43,2023-02-04 02:39:16,web
16,91,comment,88,2022-11-04 10:04:59,tablet,UK,21,1335,9fe7a5b6-7f66-4398-a1c7-609654ade916,2022-11-04 10:04:59,2022-11-04 10:16:04,web
17,211,share,754,2022-09-23 01:46:46,desktop,US,6,3345,22f442fa-02f8-40a9-bf5c-c62aa0ca7617,2022-09-23 01:46:46,2022-09-23 02:34:38,web
18,493,share,742,2023-07-18 09:20:36,desktop,India,27,1811,f43149d1-b087-4864-910c-5ff4baeffa91,2023-07-18 09:20:36,2023-07-18 09:51:10,web
19,705,share,98,2023-08-31 14:08:18,mobile,US,30,2065,847aae9c-1e57-47cd-8c19-886c83c47597,2023-08-31 14:08:18,2023-08-31 14:42:23,web
20,467,comment,564,2023-06-22 12:05:08,desktop,Brazil,37,3310,7aea480e-7eb4-41e3-8598-75a9d55acfc4,2023-06-22 12:05:08,2023-06-22 12:45:22,web
21,272,bookmark,417,2024-01-22 05:25:40,desktop,US,48,1114,a8cf5c0c-7a0a-46f3-8bf4-af15c479e3c0,2024-01-22 05:25:40,2024-01-22 06:12:28,web
22,77,like,531,2023-10-02 00:36:57,desktop,Brazil,41,1295,0d698835-fc88-4009-864d-5629ef5f854c,2023-10-02 00:36:57,2023-10-02 01:33:12,web
23,459,like,708,2023-02-19 20:30:57,tablet,Germany,46,2801,1ad13d01-293d-45a7-ad88-88d9fbc4940e,2023-02-19 20:30:57,2023-02-19 21:03:11,web
24,172,share,306,2023-01-06 05:54:35,mobile,US,21,2918,fdf171c1-1873-49fb-9792-83f4375dd3cd,2023-01-06 05:54:35,2023-01-06 06:46:26,web
25,295,share,617,2022-07-05 00:46:08,desktop,US,5,1852,2a750c27-48c1-4e99-b862-3582d020db61,2022-07-05 00:46:08,2022-07-05 01:38:57,web
26,299,bookmark,346,2023-06-07 02:00:23,tablet,UK,35,1733,156088d3-78db-41ff-8388-9f1c35b536b4,2023-06-07 02:00:23,2023-06-07 02:08:28,web
27,664,share,486,2022-07-04 11:28:47,mobile,UK,14,1264,056e5111-af58-4c45-8ed4-039de60e5aa0,2022-07-04 11:28:47,2022-07-04 12:14:15,web
28,293,like,236,2023-05-13 10:50:35,mobile,Brazil,42,3287,3a06c6b0-9958-4d2e-8a00-3aad59aab616,2023-05-13 10:50:35,2023-05-13 11:28:00,web
29,313,like,441,2023-06-23 23:21:03,mobile,UK,33,2353,ac15c2f2-f78c-4790-96fa-c6834ab26178,2023-06-23 23:21:03,2023-06-23 23:55:11,web
30,923,bookmark,766,2022-06-24 01:12:22,mobile,US,13,424,de81bc1c-f6f4-41f0-8591-07f56bf16c32,2022-06-24 01:12:22,2022-06-24 02:04:08,web
31,112,bookmark,375,2022-09-09 12:53:51,tablet,UK,1,2599,6dfeda4a-e5fa-414f-85cd-9deaccc3a09e,2022-09-09 12:53:51,2022-09-09 13:36:57,web
32,403,bookmark,848,2024-02-05 01:01:50,desktop,Brazil,7,70,69d39aaa-cb93-47f8-948d-b887ea2d8264,2024-02-05 01:01:50,2024-02-05 01:35:09,web
33,788,share,544,2023-12-23 07:08:41,tablet,Brazil,10,1194,6dd03af2-abf6-4479-8bd3-b9a6798e7d19,2023-12-23 07:08:41,2023-12-23 07:26:57,web
34,583,comment,383,2023-05-06 01:15:15,tablet,Brazil,1,748,682a3390-b4cf-449b-b0b4-7ffb3aa6ed5e,2023-05-06 01:15:15,2023-05-06 02:14:00,web
35,386,share,849,2022-12-06 22:50:39,mobile,UK,49,331,31fabffe-2016-4230-8859-ce4c71686326,2022-12-06 22:50:39,2022-12-06 22:52:30,web
36,946,like,117,2023-05-25 15:20:22,tablet,India,41,2302,39c4161b-439f-42a4-aa95-5eb71d472a9a,2023-05-25 15:20:22,2023-05-25 16:15:05,web
37,352,like,651,2023-02-25 22:28:13,mobile,US,23,3451,87f68dba-4b1f-417b-a974-949197d1f109,2023-02-25 22:28:13,2023-02-25 23:19:31,web
38,954,like,529,2022-09-03 03:10:39,desktop,US,organic,3137,de0d2b9c-b504-4895-9db5-001bc59b9eb5,2022-09-03 03:10:39,2022-09-03 04:08:58,web
39,607,share,390,2023-06-21 19:49:56,mobile,Brazil,24,3392,b845b19f-670c-4f41-bd34-e54d0565a685,2023-06-21 19:49:56,2023-06-21 20:44:24,web
40,378,bookmark,623,2024-01-23 18:32:33,tablet,India,3,2182,4bb9539f-b2b9-4d37-b1af-ca1993a31ab1,2024-01-23 18:32:33,2024-01-23 18:36:54,web
41,449,share,157,2023-12-31 10:51:50,tablet,US,6,3172,fc7d0a3a-49ac-458c-9b5c-1fb46988971b,2023-12-31 10:51:50,2023-12-31 11:30:16,web
42,642,like,247,2023-03-11 17:28:33,mobile,Brazil,19,369,c722d0e6-ad49-437e-88ff-c011a6e86aa9,2023-03-11 17:28:33,2023-03-11 17:57:01,web
43,676,bookmark,423,2022-11-26 21:23:14,desktop,US,42,3506,540ad318-339f-458c-a27d-716bb534870e,2022-11-26 21:23:14,2022-11-26 21:34:03,web
44,433,share,412,2023-03-15 17:45:52,tablet,Brazil,2,2457,5a96b91d-b2b1-4e53-b312-f2cae24cfd5b,2023-03-15 17:45:52,2023-03-15 18:14:16,web
45,548,comment,61,2023-07-03 12:32:33,mobile,India,25,1585,e4310f3b-a542-456e-b23d-3784fd8a4a0a,2023-07-03 12:32:33,2023-07-03 13:12:56,web
46,680,like,805,2023-12-22 23:41:40,mobile,India,16,3504,3688f0ad-2c9d-4c24-a891-ec7a08a3acc4,2023-12-22 23:41:40,2023-12-23 00:19:52,web
47,412,comment,18,2023-10-13 04:56:14,desktop,Brazil,49,859,90cdda51-e6a0-47c4-9169-8d387f98620c,2023-10-13 04:56:14,2023-10-13 05:45:54,web
48,900,like,417,2023-10-30 16:02:00,mobile,Germany,4,608,175e340d-b7ac-4078-b221-bc03f2cb5a1e,2023-10-30 16:02:00,2023-10-30 16:36:47,web
49,281,share,390,2023-05-25 06:24:44,mobile,Germany,28,3592,93138a4d-89e3-4573-ab63-c1d219b62c53,2023-05-25 06:24:44,2023-05-25 06:48:59,web
50,380,comment,775,2022-07-20 15:03:54,mobile,India,45,1337,31c0c509-079c-45d3-8496-09beed520efb,2022-07-20 15:03:54,2022-07-20 15:59:04,web
51,247,like,161,2023-12-24 08:12:20,tablet,US,25,2672,ce9f3a4a-0ecc-42d2-8b60-cab92dead0c4,2023-12-24 08:12:20,2023-12-24 08:36:17,web
52,888,bookmark,43,2023-04-25 00:49:53,desktop,India,1,2011,7a1b353a-9ba4-4a83-9702-1b5d9a17e44b,2023-04-25 00:49:53,2023-04-25 01:30:50,web
53,32,comment,820,2022-12-20 04:25:25,tablet,Germany,50,3577,5c8876d3-cf56-4db5-897b-305f26460c7c,2022-12-20 04:25:25,2022-12-20 05:25:19,web
54,186,like,728,2023-11-07 11:40:47,tablet,India,41,2271,fbb082f0-6131-44f0-a49f-c05726897c84,2023-11-07 11:40:47,2023-11-07 11:41:35,web
55,231,like,162,2023-06-26 01:45:44,tablet,India,2,1656,b5b8e14d-a6b7-4402-bca7-647e65504890,2023-06-26 01:45:44,2023-06-26 02:42:37,web
56,965,comment,229,2023-02-18 04:40:40,tablet,UK,18,324,d47456be-e393-4ce4-8636-eceea06011b8,2023-02-18 04:40:40,2023-02-18 05:36:14,web
57,760,like,669,2023-01-04 00:59:13,desktop,Germany,37,2636,dd614049-dd8e-4f80-9d14-dfe268ee800c,2023-01-04 00:59:13,2023-01-04 01:25:43,web
58,303,bookmark,471,2023-06-12 06:26:49,tablet,Germany,19,1124,a87fb93b-862b-4600-95dc-1b39af998c82,2023-06-12 06:26:49,2023-06-12 06:39:57,web
59,162,bookmark,528,2023-08-10 14:39:31,desktop,India,31,2981,48765dd5-8d50-4bae-ad2f-c518adabe9ee,2023-08-10 14:39:31,2023-08-10 15:14:06,web
60,783,share,645,2023-06-21 14:08:04,mobile,UK,13,1002,af193002-8692-4d63-ac5b-5a7dda2acc85,2023-06-21 14:08:04,2023-06-21 14:18:59,web
61,162,comment,594,2023-05-04 00:33:42,mobile,UK,26,2844,37b9ad16-9d68-44de-8a98-8f69bf4ccb12,2023-05-04 00:33:42,2023-05-04 01:32:42,web
62,463,bookmark,16,2023-09-30 18:40:34,tablet,Brazil,18,363,fd391e49-029f-468f-80c5-42531abb704e,2023-09-30 18:40:34,2023-09-30 19:18:49,web
