view_id;user_id;course_id;view_date;duration_seconds;from_landing_page;session_id
1;479;326;2023-07-11 00:49:01;7077;False;05569ce4-26f2-4db8-ad9d-42b5078f245c
2;209;189;2023-07-28 05:42:01;5327;True;63bbb804-d9e8-4ac7-af67-fe3dcfc2fad3
3;640;470;2023-03-21 18:03:09;5827;True;e7f16eb9-4a21-4ec2-84b7-bbbe28f64baf
4;163;282;2023-02-15 07:28:50;1864;False;1451ee0e-c28c-4533-8428-1b2f9d54c5a9
5;806;192;2024-01-03 14:38:56;4932;True;c21de965-5390-4428-98c2-d35b5063db54
6;989;852;2022-06-02 07:48:47;2407;True;e017ab41-80b3-4bc8-8ec7-5bbde197ad83
7;339;244;2023-09-05 19:01:58;2152;True;e573ab44-cfc0-44d4-90a4-c0e1f02ce274
8;885;552;2022-06-05 21:30:50;469;True;0b59e547-0ff5-432b-bf1a-c5452dd255f9
9;726;449;2024-01-20 14:46:03;5840;False;80f0aca1-5d26-42ef-bb26-a161edd70305
10;920;735;2022-09-26 07:14:19;5113;True;ea5805a5-f2e4-4826-9a42-b50a9ffaaa28
11;815;138;2022-06-03 18:43:04;2419;True;c3116107-f972-4fb1-9df4-362d2118384b
12;803;775;2022-06-15 17:13:33;3475;False;7e3bafc7-0024-4b06-80a1-24cad91a6bdf
13;747;430;2023-06-01 06:42:41;3985;True;c3901bd3-76cb-4fa9-ab5f-522130abf615
14;275;856;2022-06-16 11:03:01;1108;True;1e5a77f6-ad30-47e4-b4d4-7f464884b791
15;889;869;2023-05-13 03:13:14;1984;False;12b7a818-9005-4c23-9221-ba5a5239282e
16;628;634;2023-04-16 08:03:05;3067;True;d610d808-c340-4f4e-8b74-98a03f1b1718
17;694;110;2023-12-04 20:55:40;3316;True;e13b547c-1279-4790-b828-1f2be393999d
18;522;550;2022-12-22 20:28:43;793;False;d1903093-5830-4cb2-a5e3-2880a7219094
19;376;815;2023-06-11 14:16:22;4282;False;e7307a6e-fcf7-48d2-8d8a-186b8d442059
20;565;712;2023-11-11 13:54:11;4845;True;71334628-2670-4a1a-b1e9-568726683c6d
21;871;630;2023-05-31 15:12:30;1825;False;ae1cf433-7b44-44a7-a11b-5a28848087c6
22;775;329;2023-09-24 15:40:01;6607;True;636e4b7c-c29a-4bd8-80f1-98cbe6732bc2
23;852;814;2023-01-01 10:12:52;394;False;80503ad7-b6b4-4378-a009-2d4760d23064
24;932;157;2023-04-06 14:42:39;2242;True;5a2ed3b9-e5c5-4fad-a987-786fa0aee4d1
25;345;44;2022-11-25 20:12:37;805;False;e9a88427-0f07-469a-bd4f-08558244dea8
26;699;614;2023-05-14 00:40:13;3995;False;e3738b0d-c7cc-4d56-9d03-6993f6eb9d1e
27;594;664;2022-11-16 20:31:02;3843;False;a4da4081-d971-416f-b57d-1ad54891d4e8
28;896;552;2022-11-11 11:43:20;2739;False;bfb945b5-ec1f-4986-a814-855aee1289ab
29;727;603;2022-10-11 05:12:58;1818;False;d1907d39-a892-4d19-ad4e-e7d5345d8334
30;260;516;2023-08-16 09:45:30;4114;True;59f134c1-b11f-4f7f-b841-a44dc7e0e450
31;691;251;2022-11-03 00:47:47;1484;False;7e32ae20-f05f-417c-bfd9-f5ddfd230a8c
32;209;406;2023-06-07 13:42:42;745;True;816cf941-11ba-46f9-acc7-689fedacdfec
33;804;706;2023-06-08 13:35:32;71;False;e00aa9d3-edb2-4b61-9e99-d71bd7fd692b
34;70;695;2023-12-30 16:01:48;3487;True;ad5c85de-e0e6-4845-9960-a08a972db534
35;808;647;2023-09-02 10:21:07;1226;True;56daddfe-96ef-4893-b591-2326ac28e5b6
36;444;270;2023-07-04 00:58:00;7066;False;211d1cc8-26fb-4eee-a7e9-aace4b268d96
37;416;75;2023-04-29 15:36:08;1632;True;046ca380-4b5f-4aec-baed-f25c19736171
38;73;650;2023-08-20 14:33:00;5874;False;394246b6-1890-4329-89e9-a39efc09cf4f
39;506;473;2022-10-18 05:27:12;834;True;ef473517-4ef7-4fc2-a421-59c19336408a
40;946;542;2023-11-21 05:08:58;580;False;ffb2d27d-06c2-4b86-934f-39bf82eacb57
41;319;19;2022-11-25 21:29:20;4125;True;f168c994-e8f4-4896-b5b9-2e6024d98a91
42;171;63;2023-12-08 20:34:39;2430;True;ce8332f9-8931-4b2e-ac87-ac59e71bc786
43;838;197;2023-03-28 16:57:48;5415;True;f518afbf-7752-4e09-9b17-57172a613448
44;292;792;2023-08-28 19:43:29;4718;True;4ba07420-4e46-4d47-95f8-c07d508449de
45;163;303;2022-09-20 02:34:43;1291;True;ffee292a-709a-4515-b390-e8abbac31502
46;448;616;2024-01-30 12:23:15;3060;False;1c94fe2c-e5bb-40da-850c-1f000e2007e5
47;908;645;2023-04-27 13:00:25;332;False;6d2db392-656b-438b-a682-03d710416435
48;125;687;2023-11-28 05:31:10;6219;False;5177816c-8a93-47ce-8529-8fa66a46f751
49;436;33;2023-11-16 14:04:44;6777;False;1922e521-09bf-4a38-ba4e-9868879c2e30
50;675;842;2024-01-05 16:42:31;6891;False;594bb42b-69be-4f8f-ae7e-8697ef3e1117
51;116;636;2023-11-07 22:21:07;3568;True;5d6bf7d4-9c22-49cb-8778-e1a03dd1848f
52;771;564;2023-04-27 18:37:46;5215;True;6bf8705e-b38a-4d5d-967b-e453505003d0
53;344;401;2023-11-01 16:26:21;5935;True;98a2ff0b-1331-4630-8beb-cad322f94e8d
54;514;854;2023-08-05 02:57:58;3753;True;5f581e90-bf18-44e2-9185-d7ac917d8850
55;874;545;2022-06-27 11:23:42;6598;False;0dbfa0b4-99f0-40d5-9796-5a1c6281f056
56;606;655;2023-10-19 11:06:15;1834;True;0128d302-c610-4847-b233-3d774ada91d5
57;523;431;2022-11-11 14:13:47;2667;True;cc343b55-7fd8-4b42-a9c3-6a59670259f1
58;611;489;2023-02-08 01:03:13;3996;False;aee56d2b-d41f-45ed-bb3c-6e6c6fdcc525
59;982;782;2022-07-26 13:55:24;4853;True;41fcca1f-4bc2-4590-8316-d68661cc3afe
60;619;271;2023-09-29 07:48:46;3060;False;f052f225-674a-4673-9c8f-bafcc780ab9d
61;613;355;2023-02-19 17:54:22;490;True;94230e34-39bf-467b-92f7-99001153ed6a
62;459;697;2022-10-11 22:20:40;3945;True;ff37a9f2-71c1-417f-97e6-a69cf2a0e558
63;568;109;2024-01-26 13:18:17;664;False;89f5098d-9295-4c5d-b33f-a9e53d185c4f
64;949;356;2023-02-22 02:48:15;6761;False;f939bbe6-b5c8-44c4-b24b-b386e2afb458
65;533;6;2022-06-17 08:47:08;1140;False;15ac30bd-4a81-4d88-b516-c145191ac4d6
66;279;219;2023-05-28 04:42:46;2211;False;0b05c2f0-206a-4bc1-86cc-6a06aeed1ef3
67;729;108;2022-12-30 04:42:45;6349;False;132f7e64-c1be-4ac7-a6b2-57085c8ea83e
68;639;325;2023-10-29 21:47:30;5806;True;04d63e83-dce5-4871-b995-9259a665159e
69;41;371;2023-04-10 18:58:03;1300;False;fbfdd71f-f779-4668-834f-eff5aa00102f
70;533;59;2022-06-08 13:58:57;380;False;740f7a02-cd10-4aa7-8bed-869736cbb66c
71;506;184;2023-11-29 10:55:15;6389;True;cc6bc614-8946-41d8-a003-74f47e3e72ed
72;43;824;2023-09-21 02:48:47;1457;True;e0180980-df83-4ed0-b939-7277bc97ed4b
73;249;771;2023-06-30 12:12:31;3589;True;9346936d-ac7f-46d6-9924-ba6d8d90b008
74;758;467;2022-07-03 04:18:05;6970;False;35b806eb-64a0-4881-aa6b-b84b366b74db
75;213;72;2023-10-19 13:50:21;4101;True;5fb81de7-b7ad-49e7-8fd6-d193a7c49c5e
76;263;460;2022-07-05 17:58:25;65;False;4d8cc6cf-d34b-4c76-b43e-0f6ee197be57
77;223;590;2023-07-01 07:37:48;4590;True;8bbf0d42-e978-4d3b-b9d4-a454ad3bf969
78;939;75;2023-12-22 01:31:19;6222;False;15a11371-3a02-4f14-8d0d-9a70164f4da0
79;408;104;2023-09-12 09:29:32;5531;True;fa546b6b-8fd4-4991-b69b-e199933bd0d0
